plan_id,session_id,Rsnum,Rspos,Matnr,Werks,requester,purpose,planned_quantity,planned_use_date,status
PLAN-000616,SESS-000616,1000000640,0001,000000000030000257,3000,VZIREQ04,Statutory inspection rebuild,2.000,2025-12-31,CLOSED
PLAN-000617,SESS-000617,1000000641,0001,000000000030000257,3000,VZIREQ02,Reliability improvement upgrade,2.000,2026-04-18,CLOSED
PLAN-000618,SESS-000618,1000000642,0001,000000000030000258,2000,VZIREQ01,Reliability improvement upgrade,2.000,2026-07-29,CLOSED
PLAN-000619,SESS-000619,1000000643,0001,000000000030000258,2000,VZIREQ02,Capital project spare,4.000,2025-12-09,CLOSED
PLAN-000620,SESS-000620,1000000644,0001,000000000030000259,1000,VZIREQ02,Reliability improvement upgrade,3.000,2026-04-05,CLOSED
PLAN-000621,SESS-000621,1000000645,0001,000000000030000259,1000,VZIREQ01,Capital project spare,4.000,2026-01-15,CLOSED
PLAN-000622,SESS-000622,1000000646,0001,000000000030000259,1000,VZIREQ05,Condition monitoring intervention,3.000,2026-01-28,OPEN
PLAN-000623,SESS-000623,1000000647,0001,000000000030000260,3000,VZIREQ04,Condition monitoring intervention,2.000,2026-03-28,OPEN
PLAN-000624,SESS-000624,1000000648,0001,000000000030000261,2000,VZIREQ02,Reliability improvement upgrade,3.000,2026-07-03,OPEN
PLAN-000625,SESS-000625,1000000649,0001,000000000030000261,2000,VZIREQ03,Reliability improvement upgrade,2.000,2026-04-22,OPEN
PLAN-000626,SESS-000626,1000000650,0001,000000000030000262,2000,VZIREQ02,Statutory inspection rebuild,3.000,2026-05-03,CLOSED
PLAN-000627,SESS-000627,1000000651,0001,000000000030000262,2000,VZIREQ04,Breakdown replacement,3.000,2026-09-06,CLOSED
PLAN-000628,SESS-000628,1000000653,0001,000000000030000264,4000,VZIREQ01,Statutory inspection rebuild,1.000,2026-08-27,CLOSED
PLAN-000629,SESS-000629,1000000654,0001,000000000030000264,4000,VZIREQ01,Breakdown replacement,1.000,2026-07-22,OPEN
PLAN-000630,SESS-000630,1000000655,0001,000000000030000264,4000,VZIREQ03,Condition monitoring intervention,2.000,2026-07-23,CLOSED
PLAN-000631,SESS-000631,1000000656,0001,000000000030000265,4000,VZIREQ05,Statutory inspection rebuild,3.000,2026-06-24,CLOSED
PLAN-000632,SESS-000632,1000000657,0001,000000000030000265,4000,VZIREQ03,Breakdown replacement,3.000,2025-12-30,OPEN
PLAN-000633,SESS-000633,1000000659,0001,000000000030000267,4000,VZIREQ05,Planned shutdown replacement,1.000,2026-04-16,CLOSED
PLAN-000634,SESS-000634,1000000660,0001,000000000030000267,4000,VZIREQ05,Breakdown replacement,4.000,2025-11-22,CLOSED
PLAN-000635,SESS-000635,1000000661,0001,000000000030000268,3000,VZIREQ04,Statutory inspection rebuild,1.000,2026-07-24,OPEN
PLAN-000636,SESS-000636,1000000662,0001,000000000030000268,3000,VZIREQ03,Condition monitoring intervention,2.000,2026-03-16,CLOSED
PLAN-000637,SESS-000637,1000000663,0001,000000000030000268,3000,VZIREQ02,Reliability improvement upgrade,2.000,2026-05-13,OPEN
PLAN-000638,SESS-000638,1000000664,0001,000000000030000268,1000,VZIREQ03,Capital project spare,1.000,2026-07-05,OPEN
PLAN-000639,SESS-000639,1000000665,0001,000000000030000268,1000,VZIREQ03,Planned shutdown replacement,2.000,2026-01-03,CLOSED
PLAN-000640,SESS-000640,1000000666,0001,000000000030000269,3000,VZIREQ01,Planned shutdown replacement,3.000,2026-07-29,CLOSED
PLAN-000641,SESS-000641,1000000667,0001,000000000030000269,3000,VZIREQ01,Planned shutdown replacement,1.000,2026-07-07,OPEN
PLAN-000642,SESS-000642,1000000668,0001,000000000030000270,4000,VZIREQ03,Breakdown replacement,2.000,2026-04-19,CLOSED
PLAN-000643,SESS-000643,1000000669,0001,000000000030000270,4000,VZIREQ04,Planned shutdown replacement,3.000,2025-11-05,CLOSED
PLAN-000644,SESS-000644,1000000670,0001,000000000030000271,4000,VZIREQ01,Condition monitoring intervention,4.000,2026-02-01,CLOSED
PLAN-000645,SESS-000645,1000000671,0001,000000000030000272,1000,VZIREQ03,Capital project spare,3.000,2026-03-02,CLOSED
PLAN-000646,SESS-000646,1000000672,0001,000000000030000272,1000,VZIREQ03,Condition monitoring intervention,2.000,2026-07-06,OPEN
PLAN-000647,SESS-000647,1000000673,0001,000000000030000273,4000,VZIREQ05,Condition monitoring intervention,4.000,2026-09-16,OPEN
PLAN-000648,SESS-000648,1000000674,0001,000000000030000274,1000,VZIREQ05,Statutory inspection rebuild,1.000,2026-06-08,CLOSED
PLAN-000649,SESS-000649,1000000675,0001,000000000030000274,1000,VZIREQ02,Statutory inspection rebuild,4.000,2026-08-26,CLOSED
PLAN-000650,SESS-000650,1000000676,0001,000000000030000275,1000,VZIREQ01,Statutory inspection rebuild,3.000,2026-01-25,OPEN
PLAN-000651,SESS-000651,1000000677,0001,000000000030000276,4000,VZIREQ03,Statutory inspection rebuild,1.000,2025-12-03,CLOSED
PLAN-000652,SESS-000652,1000000678,0001,000000000030000277,4000,VZIREQ05,Condition monitoring intervention,3.000,2025-12-23,CLOSED
PLAN-000653,SESS-000653,1000000679,0001,000000000030000277,3000,VZIREQ04,Planned shutdown replacement,3.000,2026-02-13,CLOSED
PLAN-000654,SESS-000654,1000000681,0001,000000000030000278,3000,VZIREQ02,Capital project spare,4.000,2025-12-16,CLOSED
PLAN-000655,SESS-000655,1000000682,0001,000000000030000279,2000,VZIREQ03,Statutory inspection rebuild,2.000,2026-08-24,CLOSED
PLAN-000656,SESS-000656,1000000683,0001,000000000030000280,2000,VZIREQ03,Breakdown replacement,3.000,2026-05-02,OPEN
PLAN-000657,SESS-000657,1000000684,0001,000000000030000280,2000,VZIREQ04,Planned shutdown replacement,2.000,2026-05-10,OPEN
PLAN-000658,SESS-000658,1000000685,0001,000000000030000281,3000,VZIREQ05,Planned shutdown replacement,1.000,2026-03-29,OPEN
PLAN-000659,SESS-000659,1000000686,0001,000000000030000282,1000,VZIREQ05,Condition monitoring intervention,2.000,2025-12-15,CLOSED
PLAN-000660,SESS-000660,1000000687,0001,000000000030000282,1000,VZIREQ04,Breakdown replacement,1.000,2026-06-16,OPEN
PLAN-000661,SESS-000661,1000000688,0001,000000000030000282,1000,VZIREQ04,Reliability improvement upgrade,2.000,2026-08-13,OPEN
PLAN-000662,SESS-000662,1000000689,0001,000000000030000283,3000,VZIREQ01,Condition monitoring intervention,2.000,2026-04-27,CLOSED
PLAN-000663,SESS-000663,1000000690,0001,000000000030000283,3000,VZIREQ05,Reliability improvement upgrade,2.000,2026-02-28,CLOSED
PLAN-000664,SESS-000664,1000000691,0001,000000000030000283,3000,VZIREQ01,Statutory inspection rebuild,4.000,2026-05-25,CLOSED
PLAN-000665,SESS-000665,1000000692,0001,000000000030000283,1000,VZIREQ02,Capital project spare,2.000,2025-11-23,OPEN
PLAN-000666,SESS-000666,1000000693,0001,000000000030000283,1000,VZIREQ03,Statutory inspection rebuild,4.000,2026-01-04,CLOSED
PLAN-000667,SESS-000667,1000000695,0001,000000000030000284,3000,VZIREQ03,Reliability improvement upgrade,1.000,2026-03-27,CLOSED
PLAN-000668,SESS-000668,1000000696,0001,000000000030000284,2000,VZIREQ03,Planned shutdown replacement,3.000,2026-08-06,CLOSED
PLAN-000669,SESS-000669,1000000697,0001,000000000030000284,2000,VZIREQ03,Condition monitoring intervention,2.000,2026-03-27,CLOSED
PLAN-000670,SESS-000670,1000000698,0001,000000000030000284,2000,VZIREQ04,Planned shutdown replacement,3.000,2026-05-29,OPEN
PLAN-000671,SESS-000671,1000000699,0001,000000000030000285,4000,VZIREQ02,Capital project spare,3.000,2026-02-26,OPEN
PLAN-000672,SESS-000672,1000000700,0001,000000000030000286,1000,VZIREQ03,Statutory inspection rebuild,1.000,2026-06-27,CLOSED
PLAN-000673,SESS-000673,1000000702,0001,000000000030000286,1000,VZIREQ03,Reliability improvement upgrade,4.000,2026-03-10,OPEN
PLAN-000674,SESS-000674,1000000703,0001,000000000030000286,4000,VZIREQ02,Planned shutdown replacement,1.000,2026-08-30,CLOSED
PLAN-000675,SESS-000675,1000000704,0001,000000000030000286,4000,VZIREQ05,Capital project spare,4.000,2026-01-23,CLOSED
PLAN-000676,SESS-000676,1000000705,0001,000000000030000286,4000,VZIREQ04,Condition monitoring intervention,1.000,2026-03-18,CLOSED
PLAN-000677,SESS-000677,1000000706,0001,000000000030000287,4000,VZIREQ05,Breakdown replacement,4.000,2025-12-16,CLOSED
PLAN-000678,SESS-000678,1000000707,0001,000000000030000287,4000,VZIREQ01,Statutory inspection rebuild,3.000,2025-11-18,OPEN
PLAN-000679,SESS-000679,1000000708,0001,000000000030000288,2000,VZIREQ02,Reliability improvement upgrade,2.000,2025-12-29,CLOSED
PLAN-000680,SESS-000680,1000000709,0001,000000000030000288,3000,VZIREQ05,Breakdown replacement,1.000,2026-02-17,CLOSED
PLAN-000681,SESS-000681,1000000710,0001,000000000030000289,4000,VZIREQ01,Breakdown replacement,2.000,2026-03-25,OPEN
PLAN-000682,SESS-000682,1000000711,0001,000000000030000290,4000,VZIREQ03,Capital project spare,4.000,2026-05-03,CLOSED
PLAN-000683,SESS-000683,1000000712,0001,000000000030000290,4000,VZIREQ03,Planned shutdown replacement,4.000,2026-04-30,CLOSED
PLAN-000684,SESS-000684,1000000713,0001,000000000030000291,4000,VZIREQ05,Condition monitoring intervention,4.000,2026-07-17,OPEN
PLAN-000685,SESS-000685,1000000714,0001,000000000030000291,1000,VZIREQ03,Capital project spare,4.000,2026-02-01,CLOSED
PLAN-000686,SESS-000686,1000000715,0001,000000000030000291,1000,VZIREQ05,Condition monitoring intervention,4.000,2026-08-05,CLOSED
PLAN-000687,SESS-000687,1000000716,0001,000000000030000291,1000,VZIREQ01,Planned shutdown replacement,3.000,2026-01-21,CLOSED
PLAN-000688,SESS-000688,1000000717,0001,000000000030000292,3000,VZIREQ05,Reliability improvement upgrade,2.000,2026-08-29,CLOSED
PLAN-000689,SESS-000689,1000000718,0001,000000000030000292,3000,VZIREQ04,Reliability improvement upgrade,2.000,2026-07-03,CLOSED
PLAN-000690,SESS-000690,1000000720,0001,000000000030000293,2000,VZIREQ03,Breakdown replacement,1.000,2026-03-02,CLOSED
PLAN-000691,SESS-000691,1000000722,0001,000000000030000293,3000,VZIREQ04,Planned shutdown replacement,4.000,2025-12-17,CLOSED
PLAN-000692,SESS-000692,1000000723,0001,000000000030000293,3000,VZIREQ05,Statutory inspection rebuild,3.000,2026-07-25,CLOSED
PLAN-000693,SESS-000693,1000000724,0001,000000000030000293,3000,VZIREQ04,Condition monitoring intervention,2.000,2025-12-23,CLOSED
PLAN-000694,SESS-000694,1000000725,0001,000000000030000294,2000,VZIREQ01,Reliability improvement upgrade,4.000,2026-01-19,OPEN
PLAN-000695,SESS-000695,1000000726,0001,000000000030000294,2000,VZIREQ05,Breakdown replacement,3.000,2026-07-13,OPEN
PLAN-000696,SESS-000696,1000000727,0001,000000000030000294,2000,VZIREQ04,Capital project spare,1.000,2026-07-14,OPEN
PLAN-000697,SESS-000697,1000000729,0001,000000000030000294,1000,VZIREQ02,Capital project spare,2.000,2026-06-01,OPEN
PLAN-000698,SESS-000698,1000000730,0001,000000000030000295,3000,VZIREQ02,Capital project spare,2.000,2026-05-03,OPEN
PLAN-000699,SESS-000699,1000000731,0001,000000000030000295,3000,VZIREQ03,Breakdown replacement,4.000,2026-06-24,OPEN
PLAN-000700,SESS-000700,1000000732,0001,000000000030000296,3000,VZIREQ04,Breakdown replacement,2.000,2026-07-18,CLOSED
PLAN-000701,SESS-000701,1000000733,0001,000000000030000296,3000,VZIREQ02,Condition monitoring intervention,4.000,2026-05-09,CLOSED
PLAN-000702,SESS-000702,1000000734,0001,000000000030000297,3000,VZIREQ03,Planned shutdown replacement,3.000,2026-05-20,OPEN
PLAN-000703,SESS-000703,1000000735,0001,000000000030000297,3000,VZIREQ04,Statutory inspection rebuild,1.000,2026-05-16,OPEN
PLAN-000704,SESS-000704,1000000736,0001,000000000030000298,1000,VZIREQ02,Condition monitoring intervention,1.000,2026-07-09,CLOSED
PLAN-000705,SESS-000705,1000000737,0001,000000000030000299,2000,VZIREQ03,Breakdown replacement,4.000,2026-06-05,OPEN
PLAN-000706,SESS-000706,1000000738,0001,000000000030000299,2000,VZIREQ05,Condition monitoring intervention,1.000,2026-04-07,CLOSED
PLAN-000707,SESS-000707,1000000739,0001,000000000030000299,2000,VZIREQ01,Condition monitoring intervention,1.000,2026-06-17,OPEN
PLAN-000708,SESS-000708,1000000740,0001,000000000030000300,3000,VZIREQ02,Reliability improvement upgrade,4.000,2026-05-02,OPEN
PLAN-000709,SESS-000709,1000000741,0001,000000000030000300,3000,VZIREQ01,Reliability improvement upgrade,2.000,2026-06-11,OPEN
PLAN-000710,SESS-000710,1000000742,0001,000000000030000301,2000,VZIREQ02,Statutory inspection rebuild,3.000,2026-04-20,CLOSED
PLAN-000711,SESS-000711,1000000743,0001,000000000030000301,4000,VZIREQ05,Breakdown replacement,2.000,2026-03-06,CLOSED
PLAN-000712,SESS-000712,1000000744,0001,000000000030000301,4000,VZIREQ05,Reliability improvement upgrade,1.000,2025-12-11,CLOSED
PLAN-000713,SESS-000713,1000000746,0001,000000000030000302,1000,VZIREQ04,Planned shutdown replacement,4.000,2026-04-10,CLOSED
PLAN-000714,SESS-000714,1000000747,0001,000000000030000302,1000,VZIREQ01,Breakdown replacement,3.000,2026-01-06,OPEN
PLAN-000715,SESS-000715,1000000748,0001,000000000030000303,4000,VZIREQ02,Condition monitoring intervention,4.000,2026-01-12,CLOSED
PLAN-000716,SESS-000716,1000000749,0001,000000000030000303,4000,VZIREQ02,Planned shutdown replacement,3.000,2026-02-05,CLOSED
PLAN-000717,SESS-000717,1000000750,0001,000000000030000303,4000,VZIREQ01,Planned shutdown replacement,1.000,2026-05-08,CLOSED
PLAN-000718,SESS-000718,1000000751,0001,000000000030000304,2000,VZIREQ05,Reliability improvement upgrade,2.000,2026-07-14,OPEN
PLAN-000719,SESS-000719,1000000752,0001,000000000030000304,2000,VZIREQ02,Breakdown replacement,4.000,2026-07-04,OPEN
PLAN-000720,SESS-000720,1000000753,0001,000000000030000305,3000,VZIREQ05,Planned shutdown replacement,1.000,2026-06-15,OPEN
PLAN-000721,SESS-000721,1000000754,0001,000000000030000305,3000,VZIREQ05,Statutory inspection rebuild,1.000,2026-06-29,OPEN
PLAN-000722,SESS-000722,1000000755,0001,000000000030000306,2000,VZIREQ04,Planned shutdown replacement,1.000,2026-03-27,CLOSED
PLAN-000723,SESS-000723,1000000757,0001,000000000030000307,2000,VZIREQ04,Condition monitoring intervention,4.000,2026-06-22,CLOSED
PLAN-000724,SESS-000724,1000000758,0001,000000000030000307,2000,VZIREQ01,Breakdown replacement,1.000,2025-12-15,CLOSED
PLAN-000725,SESS-000725,1000000759,0001,000000000030000308,1000,VZIREQ02,Capital project spare,4.000,2026-02-22,OPEN
PLAN-000726,SESS-000726,1000000760,0001,000000000030000308,1000,VZIREQ04,Planned shutdown replacement,2.000,2026-03-24,CLOSED
PLAN-000727,SESS-000727,1000000761,0001,000000000030000308,3000,VZIREQ04,Statutory inspection rebuild,1.000,2026-04-27,CLOSED
PLAN-000728,SESS-000728,1000000762,0001,000000000030000308,3000,VZIREQ05,Planned shutdown replacement,1.000,2026-06-01,CLOSED
PLAN-000729,SESS-000729,1000000763,0001,000000000030000309,2000,VZIREQ02,Reliability improvement upgrade,3.000,2026-01-01,CLOSED
PLAN-000730,SESS-000730,1000000764,0001,000000000030000310,3000,VZIREQ03,Breakdown replacement,4.000,2026-07-29,CLOSED
PLAN-000731,SESS-000731,1000000765,0001,000000000030000310,3000,VZIREQ03,Capital project spare,2.000,2026-03-07,CLOSED
PLAN-000732,SESS-000732,1000000766,0001,000000000030000310,3000,VZIREQ04,Statutory inspection rebuild,3.000,2026-04-28,CLOSED
PLAN-000733,SESS-000733,1000000767,0001,000000000030000311,4000,VZIREQ04,Planned shutdown replacement,2.000,2026-01-06,CLOSED
PLAN-000734,SESS-000734,1000000768,0001,000000000030000311,4000,VZIREQ05,Condition monitoring intervention,2.000,2026-02-07,CLOSED
PLAN-000735,SESS-000735,1000000769,0001,000000000030000312,2000,VZIREQ01,Capital project spare,1.000,2025-12-19,CLOSED
PLAN-000736,SESS-000736,1000000770,0001,000000000030000312,2000,VZIREQ03,Statutory inspection rebuild,4.000,2026-03-23,OPEN
PLAN-000737,SESS-000737,1000000771,0001,000000000030000312,3000,VZIREQ01,Condition monitoring intervention,2.000,2026-03-19,CLOSED
PLAN-000738,SESS-000738,1000000773,0001,000000000030000312,3000,VZIREQ03,Statutory inspection rebuild,3.000,2026-01-27,OPEN
PLAN-000739,SESS-000739,1000000774,0001,000000000030000313,1000,VZIREQ04,Statutory inspection rebuild,4.000,2026-05-28,CLOSED
PLAN-000740,SESS-000740,1000000775,0001,000000000030000313,1000,VZIREQ03,Condition monitoring intervention,1.000,2026-07-10,OPEN
PLAN-000741,SESS-000741,1000000776,0001,000000000030000314,4000,VZIREQ02,Statutory inspection rebuild,3.000,2026-04-30,CLOSED
PLAN-000742,SESS-000742,1000000777,0001,000000000030000315,2000,VZIREQ04,Planned shutdown replacement,4.000,2026-05-31,OPEN
