Matnr,Spras,Maktx
000000000010000885,EN,Valve Assembly 250MM WEIR
000000000010000886,EN,Ball Mill Shell Liner Plate 6/4 SIEMENS
000000000080000204,EN,Conveyor Idler Roller Set 200MM SIEMENS
000000000010000887,EN,Level Radar Transmitter 6/4 MULTOTEC
000000000010000888,EN,Spherical Roller Bearing TYPE B SIEMENS
000000000010000889,EN,Hydraulic Pump Assembly TYPE B SIEMENS
000000000030000202,EN,Crusher Hydroset Cylinder TYPE A SEW
000000000010000890,EN,Gland Packing Seal Ring 250KW MULTOTEC
000000000010000891,EN,Gland Packing Seal Ring 150MM METSO
000000000010000892,EN,Flow Meter Sensor Head 10/8 FLSM
000000000030000203,EN,Flotation Blower Motor 200MM METSO
000000000010000893,EN,Centrifugal Pump Casing 150MM METSO
000000000010000894,EN,Conveyor Take-Up Pulley 200MM ABB
000000000010000895,EN,Conveyor Take-Up Pulley 8/6 ABB
000000000080000205,EN,Spherical Roller Bearing DN150 SIEMENS
000000000010000896,EN,Pressure Transmitter Assembly HD KSB
000000000080000206,EN,Mill Liner 250MM SEW
000000000010000897,EN,Flotation Blower Motor DN150 KSB
000000000010000898,EN,Flotation Cell Impeller 110KW MULTOTEC
000000000030000204,EN,Apron Feeder Gear Reducer TYPE A FLSM
000000000010000899,EN,Crusher Hydroset Cylinder 110KW KSB
000000000090000053,EN,Hydraulic Pump Assembly 110KW ABB
000000000010000900,EN,Ball Mill Shell Liner Plate 250KW SKF
000000000010000901,EN,Hydraulic Power Pack 110KW SANDVIK
000000000030000205,EN,Slurry Density Transmitter 200MM SEW
000000000010000902,EN,Agitator Shaft Seal 200MM KSB
000000000010000903,EN,Centrifugal Pump Casing TYPE B SIEMENS
000000000030000206,EN,Slurry Pump Wet End Assembly 110KW SEW
000000000010000904,EN,Hydraulic Pump Assembly 250MM ABB
000000000010000905,EN,Hydraulic Pump Assembly 250KW FLSM
000000000010000906,EN,Ball Mill Shell Liner Plate 150MM
000000000010000907,EN,Screen Exciter Bearing HD SANDVIK
000000000010000908,EN,Ventilation Fan Motor DN100 FLSM
000000000030000207,EN,Ball Mill Gearbox Assembly 150MM METSO
000000000080000207,EN,Centrifugal Pump Casing 8/6 SANDVIK
000000000010000909,EN,Flow Meter Sensor Head 250KW FLSM
000000000010000910,EN,Centrifugal Pump Casing 250MM METSO
000000000010000911,EN,Centrifugal Pump Casing 110KW SANDVIK
000000000080000208,EN,Gearbox Bearing TYPE B FLSM
000000000080000209,EN,Thickener Rake Seal Kit 250KW SEW
000000000010000912,EN,Ball Mill Gearbox Assembly 150MM SKF
000000000030000208,EN,Flotation Cell Impeller 6/4 SKF
000000000010000913,EN,Mill Lube Pump Motor TYPE B METSO
000000000010000914,EN,Slurry Pump Mechanical Seal 200MM
000000000010000915,EN,Conveyor Idler Roller Set TYPE A ABB
000000000010000916,EN,Valve Assembly 150MM FLSM
000000000010000917,EN,Ball Mill Shell Liner Plate HD WEIR
000000000010000918,EN,Pump Impeller TYPE B SIEMENS
000000000010000919,EN,Thickener Rake Drive Gearbox TYPE A ABB
000000000010000920,EN,Pressure Transmitter Assembly 250MM WEIR
000000000030000209,EN,Spherical Roller Bearing TYPE B SANDVIK
000000000030000210,EN,Soft Starter Power Module 10/8 MULTOTEC
000000000010000921,EN,Slurry Pump Mechanical Seal 250KW METSO
000000000010000922,EN,Pump Impeller 8/6 FLSM
000000000090000054,EN,Slurry Pump Wet End Assembly 250MM KSB
000000000030000211,EN,Hydraulic Pump Assembly HD FLSM
000000000010000923,EN,Level Radar Transmitter 8/6 METSO
000000000010000924,EN,Conveyor Idler Roller Set 6/4 SEW
000000000010000925,EN,Vertical Sump Pump Column 110KW WEIR
000000000010000926,EN,Ball Mill Trunnion Bearing TYPE B SKF
000000000010000927,EN,Slurry Density Transmitter 6/4 SKF
000000000010000928,EN,Ball Mill Gearbox Assembly DN100
000000000010000929,EN,Soft Starter Power Module 55KW MULTOTEC
000000000030000212,EN,Flow Meter Sensor Head 110KW KSB
000000000090000055,EN,Pump Impeller DN100 MULTOTEC
000000000010000930,EN,Slurry Pump Wet End Assembly 250KW
000000000030000213,EN,Slurry Pump Mechanical Seal 110KW ABB
000000000010000931,EN,Flotation Cell Impeller 110KW SEW
000000000010000932,EN,PLC Digital Output Card 55KW SEW
000000000010000933,EN,Gland Packing Seal Ring 200MM SKF
000000000010000934,EN,Gland Packing Seal Ring 10/8 WEIR
000000000010000935,EN,Centrifugal Pump Casing 6/4 WEIR
000000000010000936,EN,Flotation Blower Motor 250MM WEIR
000000000080000210,EN,Agitator Shaft Seal 6/4 SIEMENS
000000000090000056,EN,Mill Lube Pump Motor 250MM FLSM
000000000010000937,EN,Cyclone Apex Liner 150MM WEIR
000000000090000057,EN,Crusher Main Shaft Bearing 55KW KSB
000000000030000214,EN,Ventilation Fan Motor 250KW SEW
000000000010000938,EN,Vertical Sump Pump Column 200MM SANDVIK
000000000010000939,EN,Conveyor Drive Gearbox HD MULTOTEC
000000000030000215,EN,Ball Mill Shell Liner Plate 6/4 SANDVIK
000000000010000940,EN,Slurry Pump Mechanical Seal 150MM SEW
000000000030000216,EN,Ball Mill Shell Liner Plate DN150 ABB
000000000080000211,EN,Conveyor Drive Motor 8/6 SANDVIK
000000000030000217,EN,Flow Meter Sensor Head 55KW ABB
000000000080000212,EN,Skirt Rubber Liner Section DN100 SEW
000000000090000058,EN,Flow Meter Sensor Head TYPE B FLSM
000000000010000941,EN,Screen Exciter Bearing 55KW SANDVIK
000000000010000942,EN,Hydraulic Power Pack 150MM ABB
000000000030000218,EN,Agitator Shaft Seal DN100 WEIR
000000000010000943,EN,Hydraulic Pump Assembly 250KW SIEMENS
000000000010000944,EN,Ball Mill Gearbox Assembly TYPE B FLSM
000000000010000945,EN,Skirt Rubber Liner Section 250MM FLSM
000000000010000946,EN,Belt Scraper Blade Cartridge 110KW
000000000030000219,EN,Vertical Sump Pump Column 10/8 METSO
000000000010000947,EN,Flotation Cell Impeller 6/4 FLSM
000000000010000948,EN,MCC Feeder Circuit Breaker TYPE B METSO
000000000010000949,EN,Centrifugal Pump Casing 10/8 SEW
000000000030000220,EN,Belt Scraper Blade Cartridge 150MM FLSM
000000000010000950,EN,Thickener Rake Seal Kit 8/6 SEW
000000000080000213,EN,Flotation Cell Impeller 55KW ABB
000000000010000951,EN,Pressure Transmitter Assembly 8/6 FLSM
000000000010000952,EN,Flotation Blower Motor 6/4 SIEMENS
000000000080000214,EN,Conveyor Idler Roller Set 110KW SKF
000000000010000953,EN,Apron Feeder Gear Reducer 150MM MULTOTEC
000000000010000954,EN,Gearbox Bearing 110KW SIEMENS
000000000010000955,EN,Flotation Blower Motor 250MM SKF
000000000010000956,EN,Pump Impeller 8/6 ABB
000000000010000957,EN,Flow Meter Sensor Head 200MM SKF
000000000010000958,EN,Level Radar Transmitter 6/4 METSO
000000000090000059,EN,Conveyor Take-Up Pulley 150MM ABB
000000000030000221,EN,Cyclone Apex Liner 55KW FLSM
000000000010000959,EN,PLC Digital Output Card DN100 SKF
000000000030000222,EN,Pump Impeller DN150 MULTOTEC
000000000010000960,EN,Conveyor Drive Gearbox TYPE A KSB
000000000010000961,EN,Slurry Pump Wet End Assembly 10/8 METSO
000000000010000962,EN,Belt Scraper Blade Cartridge 10/8 WEIR
000000000030000223,EN,Conveyor Drive Gearbox 250KW FLSM
000000000030000224,EN,Conveyor Pulley Bearing 10/8 MULTOTEC
000000000010000963,EN,Apron Feeder Gear Reducer HD ABB
000000000010000964,EN,Conveyor Take-Up Pulley DN100 KSB
000000000010000965,EN,Pressure Transmitter Assembly 8/6 METSO
000000000010000966,EN,Conveyor Drive Motor 8/6 MULTOTEC
000000000030000225,EN,Flotation Blower Motor 150MM METSO
000000000010000967,EN,Soft Starter Power Module 110KW KSB
000000000030000226,EN,Ball Mill Gearbox Assembly 200MM FLSM
000000000010000968,EN,Conveyor Take-Up Pulley 200MM SIEMENS
000000000080000215,EN,Spherical Roller Bearing 6/4 ABB
000000000030000227,EN,MCC Feeder Circuit Breaker 150MM
000000000010000969,EN,Slurry Density Transmitter 150MM WEIR
000000000010000970,EN,Thickener Rake Drive Gearbox 150MM WEIR
000000000010000971,EN,Ball Mill Trunnion Bearing HD ABB
000000000010000972,EN,Conveyor Pulley Bearing 250KW ABB
000000000010000973,EN,Ventilation Fan Motor 10/8 METSO
000000000030000228,EN,PLC Digital Output Card 200MM ABB
000000000010000974,EN,Hydraulic Pump Assembly 200MM MULTOTEC
000000000010000975,EN,Conveyor Take-Up Pulley 8/6 MULTOTEC
000000000030000229,EN,Hydraulic Power Pack 150MM METSO
000000000010000976,EN,Conveyor Pulley Bearing DN150 SANDVIK
000000000010000977,EN,Slurry Density Transmitter 8/6 SIEMENS
000000000090000060,EN,Skirt Rubber Liner Section DN100 ABB
000000000080000216,EN,Soft Starter Power Module 10/8 SKF
000000000030000230,EN,Conveyor Idler Roller Set TYPE B WEIR
000000000030000231,EN,Flow Meter Sensor Head 10/8 FLSM
000000000030000232,EN,Mill Liner 6/4 MULTOTEC
000000000010000978,EN,Conveyor Idler Roller Set 250MM SKF
000000000080000217,EN,Vertical Sump Pump Column TYPE A SKF
000000000010000979,EN,Conveyor Take-Up Pulley 200MM SKF
000000000010000980,EN,Ball Mill Gearbox Assembly DN100 WEIR
000000000010000981,EN,Agitator Shaft Seal HD ABB
000000000090000061,EN,Pressure Transmitter Assembly 6/4 ABB
000000000030000233,EN,Belt Scraper Blade Cartridge HD SIEMENS
000000000090000062,EN,Crusher Main Shaft Bearing 250KW FLSM
000000000010000982,EN,Variable Speed Drive Unit 10/8 SIEMENS
000000000030000234,EN,Level Radar Transmitter TYPE A ABB
000000000030000235,EN,Slurry Density Transmitter 250KW METSO
000000000010000983,EN,Skirt Rubber Liner Section 10/8 SKF
000000000010000984,EN,Hydraulic Pump Assembly DN100 ABB
000000000010000985,EN,Ventilation Fan Motor 10/8 SEW
000000000080000218,EN,Mill Liner DN150 SANDVIK
000000000030000236,EN,Crusher Main Shaft Bearing HD SANDVIK
000000000010000986,EN,Cyclone Apex Liner 8/6 SIEMENS
000000000010000987,EN,Slurry Pump Mechanical Seal 6/4 SANDVIK
000000000010000988,EN,Ventilation Fan Motor 150MM SKF
000000000010000989,EN,Conveyor Idler Roller Set 55KW FLSM
000000000010000990,EN,Slurry Pump Mechanical Seal TYPE B
000000000010000991,EN,Ball Mill Shell Liner Plate TYPE A SEW
000000000010000992,EN,Thickener Rake Drive Gearbox 150MM
000000000030000237,EN,Conveyor Drive Gearbox HD MULTOTEC
000000000010000993,EN,PLC Digital Output Card 55KW SKF
000000000010000994,EN,Belt Scraper Blade Cartridge DN100 WEIR
000000000010000995,EN,Thickener Rake Seal Kit 150MM METSO
000000000010000996,EN,Ball Mill Shell Liner Plate 200MM ABB
000000000010000997,EN,Gearbox Bearing HD WEIR
000000000010000998,EN,Ball Mill Gearbox Assembly 6/4 SKF
000000000010000999,EN,Slurry Pump Mechanical Seal DN150 METSO
000000000010001000,EN,Conveyor Idler Roller Set 250KW METSO
000000000010001001,EN,Gland Packing Seal Ring HD SEW
000000000030000238,EN,Mill Liner 55KW ABB
000000000010001002,EN,Apron Feeder Gear Reducer 55KW SKF
000000000030000239,EN,Slurry Pump Wet End Assembly 200MM WEIR
000000000010001003,EN,Pressure Transmitter Assembly 110KW SKF
000000000010001004,EN,Ball Mill Trunnion Bearing 6/4 FLSM
000000000010001005,EN,Soft Starter Power Module 55KW ABB
000000000030000240,EN,Slurry Pump Wet End Assembly 8/6
000000000030000241,EN,Skirt Rubber Liner Section 150MM SANDVIK
000000000010001006,EN,Vertical Sump Pump Column 55KW SKF
000000000030000242,EN,Hydraulic Power Pack 200MM SEW
000000000030000243,EN,Conveyor Idler Roller Set DN150 SIEMENS
000000000010001007,EN,Ball Mill Trunnion Bearing TYPE A SKF
000000000010001008,EN,Flotation Cell Impeller 10/8 WEIR
000000000010001009,EN,Flotation Cell Impeller TYPE B METSO
000000000080000219,EN,Variable Speed Drive Unit 55KW SANDVIK
000000000090000063,EN,Apron Feeder Gear Reducer HD KSB
000000000010001010,EN,Slurry Density Transmitter 250MM SEW
000000000080000220,EN,Hydraulic Power Pack 55KW KSB
000000000010001011,EN,Conveyor Idler Roller Set 10/8 KSB
000000000080000221,EN,Pressure Transmitter Assembly 6/4 SEW
000000000010001012,EN,Gland Packing Seal Ring 8/6 ABB
000000000010001013,EN,Slurry Pump Mechanical Seal DN100
000000000010001014,EN,Gearbox Bearing 110KW SIEMENS
000000000010001015,EN,Gearbox Bearing 10/8 METSO
000000000010001016,EN,Ball Mill Trunnion Bearing DN150 SIEMENS
000000000010001017,EN,Flotation Cell Impeller 150MM WEIR
000000000010001018,EN,Skirt Rubber Liner Section 10/8 SANDVIK
000000000010001019,EN,Vertical Sump Pump Column DN100 SKF
000000000010001020,EN,PLC Digital Output Card 55KW SANDVIK
000000000010001021,EN,Ventilation Fan Motor 10/8 MULTOTEC
000000000010001022,EN,Gland Packing Seal Ring DN150 ABB
000000000010001023,EN,Pressure Transmitter Assembly 150MM
000000000010001024,EN,Flotation Cell Impeller 150MM FLSM
000000000010001025,EN,Valve Assembly 8/6 KSB
000000000010001026,EN,Agitator Shaft Seal TYPE A MULTOTEC
000000000010001027,EN,Gearbox Bearing 10/8 METSO
000000000010001028,EN,Centrifugal Pump Casing TYPE A SIEMENS
000000000080000222,EN,PLC Digital Output Card DN100 METSO
000000000010001029,EN,Agitator Shaft Seal 55KW METSO
000000000030000244,EN,Slurry Pump Wet End Assembly HD SIEMENS
000000000090000064,EN,Slurry Density Transmitter DN100 FLSM
000000000010001030,EN,Thickener Rake Drive Gearbox DN150 METSO
000000000010001031,EN,Conveyor Take-Up Pulley 10/8 SIEMENS
000000000030000245,EN,Flotation Blower Motor 150MM METSO
000000000010001032,EN,Level Radar Transmitter 110KW SEW
000000000010001033,EN,Belt Scraper Blade Cartridge 10/8 SEW
000000000010001034,EN,Pump Impeller TYPE B SEW
000000000010001035,EN,Slurry Pump Mechanical Seal TYPE A KSB
000000000010001036,EN,Pressure Transmitter Assembly 8/6 ABB
000000000080000223,EN,Screen Exciter Bearing 110KW SIEMENS
000000000080000224,EN,Agitator Shaft Seal 55KW SANDVIK
000000000010001037,EN,Crusher Hydroset Cylinder TYPE B SIEMENS
000000000010001038,EN,Screen Exciter Bearing 150MM SIEMENS
000000000080000225,EN,Cyclone Apex Liner 10/8 SEW
000000000090000065,EN,Hydraulic Pump Assembly 8/6 SEW
000000000030000246,EN,Gearbox Bearing 55KW KSB
000000000030000247,EN,Conveyor Idler Roller Set TYPE A FLSM
000000000010001039,EN,Gland Packing Seal Ring 6/4 MULTOTEC
000000000010001040,EN,Flotation Cell Impeller 55KW WEIR
000000000030000248,EN,Slurry Pump Mechanical Seal 6/4 SANDVIK
000000000080000226,EN,Ball Mill Trunnion Bearing DN100 FLSM
000000000030000249,EN,Ball Mill Trunnion Bearing 150MM SEW
000000000080000227,EN,Thickener Rake Drive Gearbox 8/6 SANDVIK
000000000030000250,EN,Gearbox Bearing 250MM METSO
000000000010001041,EN,MCC Feeder Circuit Breaker 250MM METSO
000000000080000228,EN,Ball Mill Gearbox Assembly TYPE B SKF
000000000030000251,EN,PLC Digital Output Card DN150 SANDVIK
000000000030000252,EN,Ball Mill Gearbox Assembly DN150 SANDVIK
000000000010001042,EN,Apron Feeder Gear Reducer 150MM SIEMENS
000000000010001043,EN,Valve Assembly 250KW KSB
000000000030000253,EN,Flow Meter Sensor Head DN150 MULTOTEC
000000000010001044,EN,Ball Mill Shell Liner Plate 200MM ABB
000000000010001045,EN,Centrifugal Pump Casing 6/4 SKF
000000000030000254,EN,Flow Meter Sensor Head 250KW ABB
000000000080000229,EN,Conveyor Drive Gearbox 10/8 KSB
000000000080000230,EN,Pressure Transmitter Assembly 250KW FLSM
000000000010001046,EN,Crusher Main Shaft Bearing HD KSB
000000000010001047,EN,Mill Lube Pump Motor 250KW SEW
000000000010001048,EN,Ventilation Fan Motor DN100 SKF
000000000010001049,EN,MCC Feeder Circuit Breaker TYPE A WEIR
000000000010001050,EN,Conveyor Drive Gearbox 250KW FLSM
000000000010001051,EN,Ball Mill Gearbox Assembly DN150 FLSM
000000000010001052,EN,Flow Meter Sensor Head 6/4 FLSM
000000000010001053,EN,Ball Mill Shell Liner Plate HD ABB
000000000010001054,EN,Slurry Pump Mechanical Seal TYPE A SKF
000000000080000231,EN,Thickener Rake Seal Kit 6/4 MULTOTEC
000000000010001055,EN,Slurry Pump Wet End Assembly 8/6 SIEMENS
000000000010001056,EN,Slurry Pump Mechanical Seal 200MM METSO
000000000010001057,EN,Mill Lube Pump Motor 6/4 METSO
000000000010001058,EN,Apron Feeder Gear Reducer 10/8 SANDVIK
000000000030000255,EN,Conveyor Pulley Bearing 6/4 MULTOTEC
000000000010001059,EN,Ball Mill Trunnion Bearing DN150 SANDVIK
000000000010001060,EN,Vertical Sump Pump Column HD MULTOTEC
000000000010001061,EN,Hydraulic Power Pack 110KW SEW
000000000010001062,EN,Screen Exciter Bearing HD WEIR
000000000010001063,EN,Soft Starter Power Module DN150 SIEMENS
000000000010001064,EN,MCC Feeder Circuit Breaker 250MM SIEMENS
000000000010001065,EN,Slurry Pump Wet End Assembly 200MM
000000000030000256,EN,Pump Impeller HD ABB
000000000010001066,EN,Conveyor Pulley Bearing 250MM SKF
000000000030000257,EN,Ball Mill Gearbox Assembly DN150 SANDVIK
000000000010001067,EN,Soft Starter Power Module DN150 METSO
000000000010001068,EN,Conveyor Drive Motor 200MM METSO
000000000010001069,EN,Level Radar Transmitter 6/4 SANDVIK
000000000010001070,EN,Crusher Hydroset Cylinder 200MM ABB
000000000010001071,EN,Slurry Pump Mechanical Seal 150MM WEIR
000000000080000232,EN,Hydraulic Power Pack 55KW WEIR
000000000080000233,EN,Conveyor Drive Motor 150MM FLSM
000000000030000258,EN,Cyclone Apex Liner DN150 SKF
000000000010001072,EN,Flotation Cell Impeller 250KW KSB
000000000010001073,EN,Spherical Roller Bearing 150MM ABB
000000000010001074,EN,Pressure Transmitter Assembly 8/6 KSB
000000000010001075,EN,Variable Speed Drive Unit 110KW SIEMENS
000000000030000259,EN,Flow Meter Sensor Head 55KW ABB
000000000080000234,EN,Pressure Transmitter Assembly 200MM KSB
000000000030000260,EN,Conveyor Idler Roller Set DN100 MULTOTEC
000000000080000235,EN,Apron Feeder Gear Reducer TYPE B FLSM
000000000010001076,EN,Slurry Pump Mechanical Seal 8/6 SEW
000000000010001077,EN,Thickener Rake Drive Gearbox HD SIEMENS
000000000010001078,EN,Screen Exciter Bearing 55KW SANDVIK
000000000010001079,EN,MCC Feeder Circuit Breaker DN150 SANDVIK
000000000010001080,EN,Ball Mill Trunnion Bearing 250KW KSB
000000000010001081,EN,MCC Feeder Circuit Breaker TYPE A SKF
000000000010001082,EN,Ventilation Fan Motor 110KW SANDVIK
000000000010001083,EN,Belt Scraper Blade Cartridge 110KW SKF
000000000010001084,EN,Conveyor Pulley Bearing 10/8 ABB
000000000010001085,EN,Ball Mill Gearbox Assembly 8/6 SIEMENS
000000000030000261,EN,Conveyor Idler Roller Set TYPE B SANDVIK
000000000010001086,EN,Flow Meter Sensor Head HD SIEMENS
000000000010001087,EN,Flotation Cell Impeller 110KW SIEMENS
000000000010001088,EN,Apron Feeder Gear Reducer 200MM FLSM
000000000010001089,EN,Conveyor Drive Gearbox 8/6 SIEMENS
000000000010001090,EN,Pump Impeller TYPE B SEW
000000000010001091,EN,Apron Feeder Gear Reducer 200MM SANDVIK
000000000010001092,EN,Crusher Hydroset Cylinder 250KW WEIR
000000000080000236,EN,Conveyor Idler Roller Set HD MULTOTEC
000000000010001093,EN,Cyclone Apex Liner TYPE A MULTOTEC
000000000010001094,EN,Ball Mill Trunnion Bearing 55KW FLSM
000000000010001095,EN,Gland Packing Seal Ring HD MULTOTEC
000000000080000237,EN,Conveyor Drive Gearbox 6/4 WEIR
000000000010001096,EN,Level Radar Transmitter 200MM METSO
000000000010001097,EN,Thickener Rake Drive Gearbox HD
000000000080000238,EN,Soft Starter Power Module TYPE A FLSM
000000000030000262,EN,Hydraulic Power Pack DN100 SIEMENS
000000000010001098,EN,Conveyor Take-Up Pulley HD SKF
000000000080000239,EN,Thickener Rake Drive Gearbox 150MM SEW
000000000010001099,EN,Ball Mill Gearbox Assembly 200MM ABB
000000000080000240,EN,Flotation Cell Impeller 250MM KSB
000000000080000241,EN,Slurry Density Transmitter 6/4 METSO
000000000010001100,EN,Screen Exciter Bearing 110KW MULTOTEC
000000000010001101,EN,Mill Lube Pump Motor 110KW SIEMENS
000000000030000263,EN,Conveyor Take-Up Pulley 250MM SANDVIK
000000000030000264,EN,Thickener Rake Drive Gearbox 150MM ABB
000000000010001102,EN,Crusher Main Shaft Bearing TYPE A FLSM
000000000010001103,EN,Skirt Rubber Liner Section 250MM WEIR
000000000010001104,EN,Flotation Blower Motor DN100 SKF
000000000030000265,EN,Gland Packing Seal Ring 6/4 SIEMENS
000000000010001105,EN,Flotation Cell Impeller TYPE A WEIR
000000000010001106,EN,Cyclone Apex Liner 150MM SKF
000000000010001107,EN,Centrifugal Pump Casing 8/6 METSO
000000000010001108,EN,Ball Mill Shell Liner Plate HD WEIR
000000000010001109,EN,Skirt Rubber Liner Section HD MULTOTEC
000000000010001110,EN,Thickener Rake Drive Gearbox 150MM SKF
000000000010001111,EN,Gland Packing Seal Ring 10/8 FLSM
000000000090000066,EN,Mill Liner 55KW SIEMENS
000000000010001112,EN,Thickener Rake Drive Gearbox TYPE B
000000000030000266,EN,Cyclone Apex Liner 8/6 METSO
000000000010001113,EN,Cyclone Apex Liner DN100 FLSM
000000000030000267,EN,Pump Impeller 10/8 SANDVIK
000000000030000268,EN,Pump Impeller 8/6 SEW
000000000010001114,EN,Flow Meter Sensor Head DN150 KSB
000000000010001115,EN,Ball Mill Shell Liner Plate 55KW
000000000010001116,EN,Slurry Density Transmitter 150MM WEIR
000000000010001117,EN,PLC Digital Output Card DN100 SIEMENS
000000000010001118,EN,Ball Mill Shell Liner Plate 8/6
000000000010001119,EN,MCC Feeder Circuit Breaker 10/8 SKF
000000000090000067,EN,Flow Meter Sensor Head 6/4 ABB
000000000010001120,EN,MCC Feeder Circuit Breaker DN150 SKF
000000000010001121,EN,Ball Mill Gearbox Assembly 55KW
000000000010001122,EN,Screen Exciter Bearing TYPE A METSO
000000000010001123,EN,Vertical Sump Pump Column 55KW ABB
000000000010001124,EN,Crusher Main Shaft Bearing HD ABB
000000000010001125,EN,Centrifugal Pump Casing 250KW KSB
000000000030000269,EN,Screen Exciter Bearing 110KW KSB
000000000010001126,EN,Conveyor Idler Roller Set 250KW SKF
000000000010001127,EN,Belt Scraper Blade Cartridge 8/6 SEW
000000000010001128,EN,Ball Mill Shell Liner Plate 250MM
000000000010001129,EN,Pump Impeller 200MM ABB
000000000010001130,EN,Hydraulic Pump Assembly 55KW WEIR
000000000010001131,EN,Apron Feeder Gear Reducer 250MM ABB
000000000010001132,EN,Slurry Pump Wet End Assembly 150MM
000000000010001133,EN,Ball Mill Gearbox Assembly 8/6 SANDVIK
000000000010001134,EN,PLC Digital Output Card 110KW METSO
000000000090000068,EN,Conveyor Idler Roller Set 10/8 FLSM
000000000010001135,EN,Spherical Roller Bearing 8/6 SEW
000000000010001136,EN,Ball Mill Shell Liner Plate TYPE B ABB
000000000090000069,EN,Conveyor Idler Roller Set 8/6 FLSM
000000000010001137,EN,PLC Digital Output Card 200MM SANDVIK
000000000010001138,EN,PLC Digital Output Card 250MM SIEMENS
000000000010001139,EN,Centrifugal Pump Casing TYPE B FLSM
000000000010001140,EN,Slurry Density Transmitter 10/8
000000000030000270,EN,Agitator Shaft Seal TYPE A WEIR
000000000010001141,EN,Thickener Rake Seal Kit 110KW SANDVIK
000000000010001142,EN,Ball Mill Gearbox Assembly TYPE A FLSM
000000000010001143,EN,Hydraulic Pump Assembly 10/8 ABB
000000000010001144,EN,Pressure Transmitter Assembly 250KW KSB
000000000090000070,EN,Spherical Roller Bearing DN150 WEIR
000000000030000271,EN,Ball Mill Shell Liner Plate 250KW KSB
000000000010001145,EN,Flotation Blower Motor 110KW SANDVIK
000000000010001146,EN,Mill Lube Pump Motor 250MM SKF
000000000010001147,EN,Conveyor Take-Up Pulley 10/8 METSO
000000000010001148,EN,Pump Impeller 250MM FLSM
000000000010001149,EN,Level Radar Transmitter DN150 KSB
000000000030000272,EN,Belt Scraper Blade Cartridge HD WEIR
000000000010001150,EN,Hydraulic Power Pack DN100 METSO
000000000010001151,EN,Pump Impeller 6/4 MULTOTEC
000000000030000273,EN,Pressure Transmitter Assembly DN100 SEW
000000000010001152,EN,Slurry Density Transmitter DN150 METSO
000000000010001153,EN,Slurry Pump Wet End Assembly 200MM SKF
000000000080000242,EN,Level Radar Transmitter HD FLSM
000000000030000274,EN,Mill Liner DN150 SANDVIK
000000000030000275,EN,Conveyor Idler Roller Set DN100 SKF
000000000010001154,EN,Thickener Rake Seal Kit 200MM SEW
000000000030000276,EN,Ball Mill Shell Liner Plate TYPE A SEW
000000000010001155,EN,Hydraulic Pump Assembly 6/4 SKF
000000000010001156,EN,MCC Feeder Circuit Breaker 150MM SEW
000000000080000243,EN,Apron Feeder Gear Reducer 10/8 FLSM
000000000090000071,EN,Agitator Shaft Seal 250KW WEIR
000000000090000072,EN,Flotation Cell Impeller 200MM FLSM
000000000010001157,EN,Conveyor Idler Roller Set DN100 SEW
000000000010001158,EN,Thickener Rake Seal Kit 8/6 METSO
000000000090000073,EN,Pressure Transmitter Assembly HD ABB
000000000030000277,EN,Conveyor Take-Up Pulley 200MM MULTOTEC
000000000010001159,EN,PLC Digital Output Card HD FLSM
000000000080000244,EN,Conveyor Drive Motor 55KW KSB
000000000080000245,EN,Flotation Cell Impeller 150MM MULTOTEC
000000000010001160,EN,Vertical Sump Pump Column 200MM FLSM
000000000030000278,EN,Hydraulic Pump Assembly 250MM FLSM
000000000030000279,EN,Centrifugal Pump Casing 10/8 METSO
000000000030000280,EN,Mill Lube Pump Motor 250MM SKF
000000000010001161,EN,Apron Feeder Gear Reducer 110KW SANDVIK
000000000010001162,EN,Mill Liner 55KW SIEMENS
000000000090000074,EN,Cyclone Apex Liner 10/8 WEIR
000000000010001163,EN,Conveyor Drive Motor 150MM KSB
000000000010001164,EN,Conveyor Idler Roller Set 250KW SEW
000000000080000246,EN,Pump Impeller 8/6 SIEMENS
000000000010001165,EN,MCC Feeder Circuit Breaker DN150 SIEMENS
000000000010001166,EN,Vertical Sump Pump Column 200MM SEW
000000000010001167,EN,Slurry Pump Wet End Assembly 6/4 FLSM
000000000010001168,EN,Cyclone Apex Liner 200MM MULTOTEC
000000000010001169,EN,Conveyor Drive Motor 10/8 METSO
000000000010001170,EN,Slurry Density Transmitter 10/8 FLSM
000000000010001171,EN,Centrifugal Pump Casing 200MM SEW
000000000010001172,EN,Ventilation Fan Motor 110KW WEIR
000000000010001173,EN,Conveyor Take-Up Pulley 8/6 METSO
000000000030000281,EN,Skirt Rubber Liner Section 6/4 SEW
000000000010001174,EN,Thickener Rake Seal Kit 10/8 METSO
000000000010001175,EN,Conveyor Pulley Bearing 10/8 SANDVIK
000000000030000282,EN,Slurry Density Transmitter 200MM SANDVIK
000000000010001176,EN,Variable Speed Drive Unit 10/8 FLSM
000000000030000283,EN,Apron Feeder Gear Reducer 110KW SEW
000000000010001177,EN,Centrifugal Pump Casing 10/8 KSB
000000000080000247,EN,Agitator Shaft Seal 6/4 FLSM
000000000010001178,EN,Variable Speed Drive Unit 250KW MULTOTEC
000000000010001179,EN,Soft Starter Power Module 250KW SANDVIK
000000000030000284,EN,Soft Starter Power Module 250KW WEIR
